genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b0278,Plate 79 Trial 2,0.650309855,1.065872177,1.895605875,0.560484274,0.996077436
b0763,Plate 79 Trial 2,0.666040902,1.040697618,1.812552663,0.445463525,0.99417466
b3418,Plate 79 Trial 2,0.621063803,1.116064367,2.03529465,0.73195542,0.995853538
b3423,Plate 79 Trial 2,0.682698607,1.015304812,1.933107355,0.784234496,0.993722916
b1659,Plate 79 Trial 2,0.660289803,1.049762055,1.836220826,0.483611756,0.995016268
b3421,Plate 79 Trial 2,0.737106704,0.940362063,1.918018009,0.552689376,0.993359669
b3674,Plate 79 Trial 2,0.705977055,0.981826783,1.925274672,0.552364581,0.995840367
b0028,Plate 79 Trial 2,0.605585778,1.144589596,1.834914356,0.300856444,0.996828295
b2907,Plate 79 Trial 2,0.68471896,1.012309021,1.937509709,0.449253077,0.996843194
b2787,Plate 79 Trial 2,0.615977955,1.1252792,1.800049919,0.270410334,0.993319569
b4095,Plate 79 Trial 2,0.703314731,0.985543384,2.022902481,0.650440921,0.995539411
b3549,Plate 79 Trial 2,0.485809387,1.426788364,1.798186044,0.405429533,0.99421421
b3559,Plate 79 Trial 2,0.646423156,1.072280865,1.834925939,0.380169519,0.996735155
b1580,Plate 79 Trial 2,0.707550948,0.979642784,2.054158723,0.665002208,0.997131214
b2521,Plate 79 Trial 2,0.712210653,0.97323338,1.841356451,0.495725483,0.994670638
b1469,Plate 79 Trial 2,0.625471016,1.108200321,1.807217229,0.396698846,0.997423916
b3383,Plate 79 Trial 2,0.722554461,0.959300949,1.858648818,0.478219708,0.996487738
b0001,Plate 79 Trial 2,0.692779538,1.000530677,1.905881762,0.396063212,0.992591548
b4509,Plate 79 Trial 2,0.61129308,1.133903202,1.971483643,0.509107789,0.997422654
b2565,Plate 79 Trial 2,0.676249514,1.024987326,1.821146316,0.489300276,0.996120128
b2580,Plate 79 Trial 2,0.70346504,0.985332804,2.004990238,0.506662541,0.99679498
b2616,Plate 79 Trial 2,0.691545299,1.00231638,1.730400676,0.38612671,0.993616379
b2733,Plate 79 Trial 2,0.620505689,1.117068212,1.839073581,0.467982662,0.995528221
b2831,Plate 79 Trial 2,0.77011344,0.900058543,1.904366731,0.3921638,0.995624868
b4033,Plate 57 Trial 2,0.696701271,0.994898688,1.811329387,0.315371738,0.995828372
b4034,Plate 57 Trial 2,0.000645401,1073.97831,0.00058028,1.001251882,0.007016521
b4035,Plate 57 Trial 2,0.639594308,1.083729439,1.834049252,0.400094165,0.995867849
b4086,Plate 57 Trial 2,0.678415671,1.021714577,1.630304603,0.402472194,0.988345623
b4088,Plate 57 Trial 2,1.84E-12,3.76E+11,1.37E-12,0.999543613,0
b4111,Plate 57 Trial 2,0.726462902,0.954139817,1.870312863,0.43724513,0.996870631
b4120,Plate 57 Trial 2,0.571144071,1.213611794,1.610343682,0.244257651,0.996689777
b4123,Plate 57 Trial 2,0.737055335,0.940427602,1.787587874,0.260780907,0.995263329
b4132,Plate 57 Trial 2,0.768616756,0.901811175,1.771359184,0.267449365,0.995584749
b4208,Plate 57 Trial 2,0.642670634,1.07854186,1.719142495,0.38675924,0.995329257
b4210,Plate 57 Trial 2,0.616641237,1.124068808,1.594037632,0.294783633,0.995357072
b4240,Plate 57 Trial 2,0.619781039,1.118374291,1.66665818,0.366206702,0.99593535
b4242,Plate 57 Trial 2,0.597996165,1.159116431,1.142433098,0.29122899,0.988853272
b4287,Plate 57 Trial 2,0.701776079,0.9877042,1.769873146,0.259060039,0.993473985
b4289,Plate 57 Trial 2,0.505820031,1.370343478,1.507286985,0.201787349,0.99606606
b4291,Plate 57 Trial 2,0.667525876,1.038382489,1.652187241,0.276122332,0.995434127
b4302,Plate 57 Trial 2,0.602684455,1.15009965,1.740806181,0.270042518,0.996066235
b4321,Plate 57 Trial 2,0.707255229,0.980052394,1.87102854,0.419254741,0.995486611
b4367,Plate 57 Trial 2,0.651759955,1.063500719,1.711692671,0.448877149,0.995832159
b4400,Plate 57 Trial 2,0.667757399,1.038022464,1.810423517,0.418138715,0.997137718
b0026,Plate 57 Trial 2,0.532483318,1.301725627,1.770093678,0.335285493,0.996536169
b0236,Plate 57 Trial 2,0.668495599,1.036876206,1.722776739,0.435801468,0.993911221
b0405,Plate 57 Trial 2,0.461569894,1.50171662,1.330817664,0.248622846,0.993719358
b0406,Plate 57 Trial 2,0.566992148,1.222498731,1.543124506,0.391460952,0.9915143
b0525,Plate 57 Trial 2,0.554901245,1.249136106,1.482953602,0.243364037,0.992188771
b0852,Plate 57 Trial 2,0.5244894,1.32156566,1.751296585,0.511779004,0.994917479
b0859,Plate 57 Trial 2,0.522204871,1.327347213,1.56021157,0.403645717,0.991955045
b0885,Plate 57 Trial 2,0.361411051,1.917891491,1.630874698,0.002102231,0.995521128
b0953,Plate 57 Trial 2,-2.415731573,-0.286930547,-0.302775142,1.567278012,0.70662541
b1066,Plate 57 Trial 2,0.675428677,1.026232975,1.737648147,0.305663347,0.994731093
b1086,Plate 57 Trial 2,0.403183724,1.71918443,1.495154821,0.179444199,0.994662368
b1089,Plate 57 Trial 2,0.643353575,1.077396952,1.825462215,0.610951637,0.996454464
b1427,Plate 57 Trial 2,0.519786978,1.333521633,1.701867543,0.22239129,0.990441753
b1480,Plate 57 Trial 2,0.476725659,1.453974981,1.833377913,0.183460972,0.994575629
b1717,Plate 57 Trial 2,0.539902357,1.283838035,1.656754071,0.540035266,0.99525295
b1764,Plate 57 Trial 2,0.579021244,1.197101467,1.80274944,0.405234645,0.99413536
b1822,Plate 57 Trial 2,0.483624448,1.433234369,1.75931228,0.10230681,0.992409005
b2185,Plate 57 Trial 2,0.657125503,1.054817045,1.903381603,0.59376019,0.995747977
b2255,Plate 57 Trial 2,0.638520748,1.085551538,1.628749046,0.380281021,0.994698419
b2318,Plate 57 Trial 2,0.545757903,1.270063479,1.857141837,0.578560654,0.995496481
b2482,Plate 57 Trial 2,0.509608219,1.360156988,1.910545557,0.456920734,0.996799397
b2484,Plate 57 Trial 2,0.556930566,1.244584555,1.796463673,0.359922247,0.996207033
b2485,Plate 57 Trial 2,0.643298172,1.07748974,1.850861831,0.556435027,0.993269316
b2486,Plate 57 Trial 2,0.407464032,1.701124827,1.669127297,0.249101774,0.995079221
b2487,Plate 57 Trial 2,0.631726807,1.097226163,1.886099501,0.449647947,0.995507749
b2488,Plate 57 Trial 2,0.58150585,1.191986599,1.757514644,0.284260814,0.994641568
b2167,Plate 57 Trial 2,0.503591411,1.376407868,1.812328127,0.229846718,0.995993054
