genotype,plate,gompertz_mu_max,gompertz_doubling_time,gompertz_carrying_capacity,gompertz_lag_time,gompertz_r2
b0658,Plate 25 Trial 2,0.598001804,1.159105501,1.283151308,2.498923209,0.993662388
b0662,Plate 25 Trial 2,0.244574104,2.834098822,1.282223319,0.418257515,0.999031118
b0711,Plate 25 Trial 2,0.709391241,0.977101408,1.298385553,0.417497485,0.997219104
b0712,Plate 25 Trial 2,0.724381193,0.956881801,1.434902385,0.933448638,0.99701349
b0766,Plate 25 Trial 2,0.534313946,1.297265747,1.303057122,0.861780952,0.998006407
b0770,Plate 25 Trial 2,0.574562231,1.206391828,1.251506683,0.57505544,0.997859124
b0788,Plate 25 Trial 2,0.675942322,1.025453146,1.397236802,0.830955757,0.9979811
b0789,Plate 25 Trial 2,0.671149558,1.032776037,1.352419226,0.715893597,0.997419665
b0793,Plate 25 Trial 2,0.684538943,1.012575234,1.282791419,0.441825001,0.996501675
b0795,Plate 25 Trial 2,0.679967712,1.019382492,1.365118607,0.631157075,0.99738059
b0800,Plate 25 Trial 2,0.689668834,1.005043503,1.336349646,0.584074878,0.997027917
b0817,Plate 25 Trial 2,0.653502079,1.060665609,1.281658453,0.46202291,0.996874059
b0819,Plate 25 Trial 2,0.508578275,1.362911502,1.3178896,0.508739505,0.998197052
b0822,Plate 25 Trial 2,0.58231947,1.190321148,1.310769468,0.508212284,0.99898562
b0833,Plate 25 Trial 2,0.607708032,1.14059243,1.252298122,0.471029217,0.997089271
b0834,Plate 25 Trial 2,0.630905379,1.098654734,1.272789301,0.540411437,0.996537963
b0835,Plate 25 Trial 2,0.717480072,0.966085621,1.246678411,0.620724618,0.9922731
b0838,Plate 25 Trial 2,0.712899608,0.972292835,1.283423576,0.514288865,0.996730665
b0845,Plate 25 Trial 2,0.58776563,1.179291788,1.473175825,1.10030618,0.985571502
b0892,Plate 25 Trial 2,0.545066188,1.27167525,1.371909925,0.722243482,0.997461667
b0897,Plate 25 Trial 2,0.514517874,1.347178038,1.407294605,0.806897538,0.997908183
b0898,Plate 25 Trial 2,0.578727812,1.197708432,1.508804692,0.805887459,0.998542961
b0909,Plate 25 Trial 2,0.671610512,1.032067199,1.235682466,0.552760868,0.996684001
b0948,Plate 25 Trial 2,0.62285278,1.112858773,1.130929772,0.634025529,0.994431289
b0967,Plate 25 Trial 2,0.526654854,1.31613176,1.00979156,0.656156102,0.99584091
b0981,Plate 25 Trial 2,0.597961671,1.159183295,1.161587545,0.490502464,0.996977468
b2047,Plate 25 Trial 2,0.716852618,0.966931225,1.249282756,0.631677124,0.993676449
b0308,Plate 75 Trial 2,0.725878468,0.954908034,1.871416475,0.286558113,0.993346048
b0322,Plate 75 Trial 2,0.709904304,0.976395237,1.938274717,0.352454831,0.994416442
b0327,Plate 75 Trial 2,0.767869141,0.9026892,1.92586776,0.389754178,0.995255287
b0374,Plate 75 Trial 2,0.715799955,0.968353205,1.983789721,0.595562069,0.996398019
b0380,Plate 75 Trial 2,0.681020441,1.017806719,2.002993904,0.643164215,0.996459199
b0412,Plate 75 Trial 2,0.643551758,1.077065165,1.980000402,0.533139906,0.995974953
b0426,Plate 75 Trial 2,0.714773592,0.96974369,1.990606465,0.726311838,0.997656531
b0427,Plate 75 Trial 2,0.606138829,1.143545253,1.888190193,0.270192876,0.995875051
b0457,Plate 75 Trial 2,0.607395837,1.141178681,1.886698616,0.32164241,0.993860311
b0458,Plate 75 Trial 2,0.562402789,1.23247465,1.873860816,0.145752729,0.993564948
b0491,Plate 75 Trial 2,0.743245272,0.93259548,1.960163165,0.352098454,0.992202894
b0528,Plate 75 Trial 2,0.67850223,1.021584234,1.836897248,0.274948602,0.994657921
b0535,Plate 75 Trial 2,0.640426143,1.082321808,1.939184616,0.561619556,0.993999709
b0556,Plate 75 Trial 2,0.745165401,0.930192383,1.929357061,0.613632095,0.995406794
b0558,Plate 75 Trial 2,0.749128548,0.925271347,1.866816053,0.629636591,0.996010016
b0570,Plate 75 Trial 2,0.658427272,1.052731577,1.810085158,0.23293057,0.993163548
b0579,Plate 75 Trial 2,0.624001417,1.110810268,1.804541004,0.10362029,0.994058155
b0584,Plate 75 Trial 2,0.693973609,0.998809136,1.934021479,0.287671318,0.994729932
b0637,Plate 75 Trial 2,0.729292085,0.950438371,1.990710155,0.396221165,0.994103141
b0644,Plate 75 Trial 2,0.608004654,1.140035979,1.899615706,0.283043783,0.994279489
b0690,Plate 75 Trial 2,0.647039481,1.071259484,1.880828652,0.232520147,0.994501907
b0691,Plate 75 Trial 2,0.627081886,1.105353536,1.775132851,0.173880399,0.989658844
b0694,Plate 75 Trial 2,0.630060725,1.10012758,1.793699572,0.238198186,0.992830888
b0716,Plate 75 Trial 2,0.550157101,1.259907723,1.755499374,0.098622641,0.99191427
b0718,Plate 75 Trial 2,0.540081279,1.283412715,1.741469375,0.111258175,0.990903718
b0762,Plate 75 Trial 2,0.749933461,0.924278242,1.826999197,0.256704101,0.98871459
b0771,Plate 75 Trial 2,0.609487432,1.137262466,1.818685227,0.175980833,0.989059319
b0804,Plate 75 Trial 2,0.599688124,1.155846101,1.795248351,0.36739355,0.995749726
b0807,Plate 75 Trial 2,0.62424738,1.110372592,1.93294229,0.287205969,0.991853017
b0808,Plate 75 Trial 2,0.613894535,1.129098145,1.82956393,0.18597803,0.99344283
b0825,Plate 75 Trial 2,0.575858524,1.203676167,1.829334393,0.208837956,0.993241116
b0829,Plate 75 Trial 2,0.608141285,1.139779847,1.731092292,0.226087564,0.993132396
b0844,Plate 75 Trial 2,0.645562497,1.073710421,1.833751429,0.203520694,0.995125115
b0846,Plate 75 Trial 2,0.711400219,0.974342096,1.924023456,0.301047395,0.992678875
b0869,Plate 75 Trial 2,0.652250091,1.062701547,1.865215595,0.199187156,0.988846606
b0913,Plate 75 Trial 2,0.686902551,1.009090998,1.88637991,0.446537522,0.992462023
b0943,Plate 75 Trial 2,0.50180842,1.381298427,1.451138609,-0.030739033,0.981776656
b0944,Plate 75 Trial 2,0.581790337,1.191403735,1.906984884,0.47020671,0.997364299
b0947,Plate 75 Trial 2,0.636086387,1.089706044,1.793336269,0.114931064,0.993445503
b0952,Plate 75 Trial 2,0.507684485,1.365310938,1.8893573,0.18480738,0.992373717
b0960,Plate 75 Trial 2,0.792528313,0.87460242,1.985542018,0.642016533,0.98753037
b0965,Plate 75 Trial 2,0.604465769,1.146710395,1.855499843,0.101881209,0.993818537
b0968,Plate 75 Trial 2,0.633813767,1.093613324,1.689092999,0.118936644,0.990859634
b0987,Plate 75 Trial 2,0.568406714,1.219456356,1.892973833,0.119079657,0.994999468
b4518,Plate 75 Trial 2,0.548137188,1.264550546,1.884836619,0.130455183,0.995840851
b1006,Plate 75 Trial 2,0.542618402,1.277411857,1.842718274,0.34147442,0.997852697
b1011,Plate 75 Trial 2,0.635610072,1.090522651,1.805085846,0.134301958,0.993745014
b1036,Plate 75 Trial 2,0.671538638,1.032177661,1.881811535,0.202882842,0.994441114
b1046,Plate 75 Trial 2,0.559988405,1.237788451,1.95186991,0.060946613,0.9944214
b1050,Plate 75 Trial 2,0.4625328,1.498590328,1.931335524,0.012778414,0.994344402
b1060,Plate 75 Trial 2,0.748541651,0.92599681,1.894938501,0.320016756,0.99311697
b1079,Plate 75 Trial 2,0.715983017,0.968105618,1.84434642,0.399917742,0.989477372
b1087,Plate 75 Trial 2,0.583954592,1.18698815,1.845327789,0.101785054,0.99286801
b1108,Plate 75 Trial 2,0.407745636,1.699949966,1.657956396,-0.185268013,0.991726947
b1111,Plate 75 Trial 2,0.695356013,0.99682345,1.789976216,0.180804169,0.993575
b1122,Plate 75 Trial 2,0.680447676,1.018663455,1.8017628,0.356659303,0.990925743
b1138,Plate 75 Trial 2,0.712981092,0.972181715,1.691236647,0.192142508,0.989034844
b1143,Plate 75 Trial 2,0.445624532,1.555451126,1.876866881,-0.0112612,0.991025943
b1146,Plate 75 Trial 2,0.747742323,0.926986689,1.760399218,0.262180283,0.991187029
b1157,Plate 75 Trial 2,0.694589169,0.997923969,1.841972868,0.489163768,0.997002551
b4519,Plate 75 Trial 2,0.651768421,1.063486905,1.780629503,0.099246039,0.990451857
b1168,Plate 75 Trial 2,0.561434797,1.234599608,1.845073219,0.001794011,0.993953356
b1172,Plate 75 Trial 2,0.59886977,1.157425564,1.750732583,0.041112889,0.990583287
b1181,Plate 75 Trial 2,0.596765795,1.161506216,1.647729316,0.081278141,0.989840855
b1182,Plate 75 Trial 2,0.532788881,1.300979066,1.894857844,0.096733706,0.995023808
b1198,Plate 75 Trial 2,0.595889959,1.163213393,1.808061261,0.102464805,0.994143767
b1199,Plate 75 Trial 2,0.742388139,0.933672218,1.765993893,0.548544202,0.998985037
b1200,Plate 75 Trial 2,0.697920306,0.993160931,1.768472647,0.251509557,0.992956034
b1267,Plate 75 Trial 2,0.59946478,1.156276739,1.747308485,0.072320997,0.991258044
b1268,Plate 75 Trial 2,0.643070647,1.077870968,1.804678327,0.137894988,0.989726027
b1287,Plate 75 Trial 2,0.741854297,0.934344093,1.884369575,0.275622569,0.994427941
b1314,Plate 75 Trial 2,0.526888555,1.315547993,1.673702678,0.074035349,0.987982086
b1338,Plate 75 Trial 2,0.554637763,1.249729512,1.827783481,0.07285922,0.991932462
b1341,Plate 75 Trial 2,0.686292842,1.009987484,1.921892989,0.321796243,0.993467478
b1346,Plate 75 Trial 2,0.739719188,0.937040964,1.800422125,0.35309311,0.992164043
b1348,Plate 75 Trial 2,0.483032993,1.434989309,1.707540387,0.055000628,0.992443672
b1355,Plate 75 Trial 2,0.728254331,0.951792734,1.938440656,0.36193519,0.996322814
b1361,Plate 75 Trial 2,0.664578454,1.042987741,1.905034273,0.298196967,0.992419226
b1362,Plate 75 Trial 2,0.693360051,0.999692988,1.761294847,0.147536303,0.991731174
b1383,Plate 75 Trial 2,0.519364323,1.334606846,1.572688911,-0.053754441,0.990759546
b1391,Plate 75 Trial 2,0.650868629,1.06495712,1.958833724,0.327359368,0.997019589
b1407,Plate 75 Trial 2,0.569861026,1.216344247,1.651107896,0.124046036,0.98860936
b1418,Plate 75 Trial 2,0.637903986,1.086601112,1.732515984,0.125735642,0.990523546
b1422,Plate 75 Trial 2,0.620853634,1.116442173,1.750026521,0.210966483,0.989854037
b1432,Plate 75 Trial 2,0.505254098,1.371878394,1.739320849,0.053842877,0.991581645
b1433,Plate 75 Trial 2,0.48434433,1.43110415,1.713644027,-0.009557934,0.993905401
b1445,Plate 75 Trial 2,0.514627453,1.346891186,1.634885955,-0.107420588,0.991851158
b1448,Plate 75 Trial 2,0.523564384,1.32390056,1.735068438,0.106852508,0.993947351
b1171,Plate 75 Trial 2,0.651558111,1.063830177,1.856546032,0.37667223,0.997050289
b2377,Plate 83 Trial 2,0.607934425,1.140167676,1.818450202,0.146729587,0.995667579
b2408,Plate 83 Trial 2,0.611206025,1.134064706,1.837878297,0.152113427,0.994706048
b2506,Plate 83 Trial 2,0.683246848,1.014490125,1.807861505,0.404118439,0.996809885
b2626,Plate 83 Trial 2,0.668507342,1.036857992,1.868123755,0.255192753,0.99599509
b2636,Plate 83 Trial 2,0.557241704,1.243889635,1.47991881,0.041570306,0.986715103
b2645,Plate 83 Trial 2,0.871506216,0.795343932,1.968705605,0.955790249,0.995578219
b1164,Plate 83 Trial 2,0.518704861,1.336303613,1.83697282,0.152323866,0.9960898
b1577,Plate 83 Trial 2,0.609925786,1.136445115,1.883440872,0.35096776,0.997066336
b1599,Plate 83 Trial 2,0.575245515,1.204958861,1.811841509,0.116970887,0.994733022
b1824,Plate 83 Trial 2,0.675779481,1.025700246,1.781789698,0.30288318,0.99453524
b0729,Plate 83 Trial 2,0.419701474,1.651524292,1.572197789,0.18603983,0.990756283
b1109,Plate 83 Trial 2,0.620975577,1.116222934,1.597948016,0.262716494,0.993056738
b0814,Plate 83 Trial 2,0.880098953,0.78757869,1.826169224,0.641367726,0.992755151
b1139,Plate 83 Trial 2,0.688991908,1.006030945,1.722823832,0.217858104,0.993962424
b1538,Plate 83 Trial 2,0.61739703,1.122692768,1.722676844,0.136460507,0.992629872
b2289,Plate 83 Trial 2,0.60288689,1.149713473,1.624086068,0.171320794,0.993815708
b2592,Plate 83 Trial 2,0.66000297,1.050218275,1.726965467,0.298876272,0.994444535
b0064,Plate 83 Trial 2,0.694499496,0.998052821,1.789551833,0.191522432,0.993416645
b0730,Plate 83 Trial 2,0.716781591,0.967027041,1.806463469,0.231441275,0.994025642
b2808,Plate 83 Trial 2,0.719091606,0.963920555,1.646742208,0.40494652,0.973054959
b3905,Plate 83 Trial 2,0.671393479,1.032400824,1.739098657,0.256058319,0.992831866
b3720,Plate 83 Trial 2,0.801429777,0.864888229,1.819170169,0.399978188,0.994567734
b0799,Plate 83 Trial 2,0.528822388,1.310737208,1.585975288,0.054617159,0.991379535
b0875,Plate 83 Trial 2,0.665766527,1.041126509,1.81689837,0.323239417,0.995438106
b2346,Plate 83 Trial 2,0.687071182,1.008843332,1.812590369,0.322307836,0.995566936
b2849,Plate 83 Trial 2,0.666595614,1.039831595,1.987354331,0.309276535,0.996332014
b2862,Plate 83 Trial 2,0.687553726,1.008135298,1.846371455,0.321687855,0.992596136
b2409,Plate 83 Trial 2,0.565052067,1.226696124,1.827213787,0.120774856,0.993770867
b2877,Plate 83 Trial 2,0.721069727,0.961276219,1.804058953,0.331944606,0.992967033
b2880,Plate 83 Trial 2,0.440315292,1.574206467,1.195585937,-0.127918645,0.981298773
b2940,Plate 83 Trial 2,0.610032474,1.136246364,1.614632841,0.083696034,0.991548332
b2951,Plate 83 Trial 2,0.65450084,1.059047045,1.840955523,0.191759785,0.995938116
b3002,Plate 83 Trial 2,0.615950165,1.125329969,1.661475827,0.176244695,0.989248169
b3148,Plate 83 Trial 2,0.723395209,0.958186026,1.831650783,0.304277162,0.991193758
b3211,Plate 83 Trial 2,0.661763284,1.047424656,1.741413963,0.217173054,0.990518756
b3252,Plate 83 Trial 2,0.726088897,0.95463129,1.908125511,0.306297479,0.996352264
b3374,Plate 83 Trial 2,0.74400734,0.931640245,1.911973021,0.34686826,0.995125708
b3377,Plate 83 Trial 2,0.644496017,1.075487144,1.604225848,0.081504472,0.99143427
b3410,Plate 83 Trial 2,0.693632,0.999301042,1.844486754,0.229051549,0.995835398
b3427,Plate 83 Trial 2,0.6351291,1.091348484,1.622979251,0.047171257,0.992051595
b3512,Plate 83 Trial 2,0.698323455,0.992587568,1.662463076,0.183755014,0.990161741
b3515,Plate 83 Trial 2,0.676936157,1.02394764,1.605018668,0.124687358,0.988821395
b3524,Plate 83 Trial 2,0.593000469,1.168881336,1.750722968,0.098309925,0.991649709
b3576,Plate 83 Trial 2,0.724234704,0.957075347,1.895897745,0.339035287,0.994942982
b3592,Plate 83 Trial 2,0.723798638,0.957651955,1.763100527,0.226499735,0.994311209
b3598,Plate 83 Trial 2,0.82216765,0.843072797,1.162583127,0.316304584,0.946337275
b3802,Plate 83 Trial 2,0.694802608,0.997617414,1.767380954,0.21628753,0.994798677
b3901,Plate 83 Trial 2,0.732106134,0.946785102,1.859755351,0.232393465,0.99496086
b4011,Plate 83 Trial 2,0.727589771,0.952662075,1.800915729,0.2527084,0.992390243
b4020,Plate 83 Trial 2,0.787184583,0.880539578,1.900788485,0.323942808,0.991876625
b4309,Plate 83 Trial 2,0.738287559,0.938857999,1.878333946,0.358166587,0.994266122
b4332,Plate 83 Trial 2,0.554027949,1.251105078,1.746484716,0.070072433,0.993147758
b4347,Plate 83 Trial 2,0.695959209,0.995959492,1.881021128,0.290508881,0.996156684
b4356,Plate 83 Trial 2,0.680984733,1.017860088,1.684052981,0.19652684,0.993265466
b0002,Plate 83 Trial 2,0.763797336,0.907501438,1.762896068,0.198204673,0.994341247
b0828,Plate 83 Trial 2,0.561576448,1.234288196,1.773838479,0.024589205,0.994237516
b1748,Plate 83 Trial 2,0.55337542,1.252580357,1.732099023,0.061635744,0.99231165
b0596,Plate 83 Trial 2,0.545994129,1.269513981,1.555120734,0.04040514,0.984886967
b0921,Plate 83 Trial 2,0.652414069,1.062434447,1.76469231,0.148902064,0.993545561
b1096,Plate 83 Trial 2,0.562530016,1.232195901,1.839868451,0.092341267,0.993660164
b2262,Plate 83 Trial 2,0.458659837,1.511244554,1.95227593,0.085508207,0.995471991
b0140,Plate 83 Trial 2,0.517130647,1.340371499,1.750378919,-0.034189115,0.993029378
b1083,Plate 83 Trial 2,0.521667316,1.328714987,1.597488583,-0.121182058,0.992046632
b1319,Plate 83 Trial 2,0.480382706,1.442906192,1.753604199,-0.050752772,0.992544821
b1374,Plate 83 Trial 2,0.526441636,1.316664817,1.759949212,-0.082405358,0.992388322
b1503,Plate 83 Trial 2,0.547359985,1.266346097,1.813937638,-0.018964224,0.993510745
b1878,Plate 83 Trial 2,0.688550536,1.006675827,1.723219811,0.265438432,0.992959916
b1892,Plate 83 Trial 2,0.671565794,1.032135923,1.809401669,0.329497363,0.994076012
b2519,Plate 83 Trial 2,0.561960785,1.23344404,1.702621127,0.275075351,0.99263528
b2826,Plate 83 Trial 2,0.686295178,1.009984047,1.686343324,0.540013607,0.995433728
b3624,Plate 83 Trial 2,0.591393456,1.172057576,1.791443446,0.049086467,0.994313181
b3628,Plate 83 Trial 2,0.750451675,0.923639994,1.940608161,0.307244377,0.99459862
b3661,Plate 83 Trial 2,0.735443825,0.942488273,1.767516894,0.230096813,0.991835963
b4319,Plate 83 Trial 2,0.668998516,1.036096738,1.770579767,0.204940159,0.99383641
b4355,Plate 83 Trial 2,0.642634776,1.078602041,1.60048452,0.06345559,0.989499124
b0271,Plate 83 Trial 2,0.762908128,0.908559176,1.87282296,0.371744298,0.995477761
b2662,Plate 83 Trial 2,0.648143038,1.069435511,1.787602192,0.151721891,0.995284577
b2977,Plate 83 Trial 2,0.762614083,0.908909494,1.956716389,0.36245138,0.996336895
b3213,Plate 83 Trial 2,0.741644362,0.934608576,1.793541899,0.177720775,0.9947805
b3583,Plate 83 Trial 2,0.673640004,1.028957866,1.75389115,0.217911565,0.992211718
b4093,Plate 83 Trial 2,0.728254294,0.951792783,1.901062473,0.31602821,0.995071465
b4096,Plate 83 Trial 2,0.851010174,0.814499288,1.70722896,0.129137571,0.991246693
b4098,Plate 83 Trial 2,0.723044779,0.958650419,1.752180404,0.219801118,0.992423319
b4100,Plate 83 Trial 2,0.788560731,0.879002914,1.906125113,0.56111869,0.996023103
b0348,Plate 83 Trial 2,0.708796286,0.977921575,1.573922642,0.074973671,0.99194786
b0895,Plate 83 Trial 2,0.472431722,1.467190174,1.71867999,-0.059677931,0.994543249
b1224,Plate 83 Trial 2,0.585200451,1.184461119,1.820367624,-0.032245795,0.991041621
b1225,Plate 83 Trial 2,0.549267568,1.261948131,1.722714574,-0.016657762,0.992293883
b1301,Plate 83 Trial 2,0.701830999,0.987626909,1.891273314,0.267330071,0.993604349
b1475,Plate 83 Trial 2,0.855660176,0.810072971,1.718936265,0.163835644,0.992839426
b2033,Plate 83 Trial 2,0.684895005,1.012048819,1.767830075,0.244951598,0.994214329
b2036,Plate 83 Trial 2,0.59480717,1.165330909,1.664055559,0.369105133,0.99339619
b4190,Plate 39 Trial 2,0.597315915,1.160436485,1.727502489,0.586574122,0.995850366
b4191,Plate 39 Trial 2,0.568430056,1.21940628,1.788323889,0.832783168,0.997721232
b4199,Plate 39 Trial 2,0.597576107,1.159931216,1.7825078,0.785749653,0.996943827
b4204,Plate 39 Trial 2,0.636285197,1.08936556,1.8578406,0.630110608,0.997209908
b4209,Plate 39 Trial 2,0.570576549,1.214818909,1.720139317,0.522195531,0.995405793
b4211,Plate 39 Trial 2,0.622765426,1.113014872,1.929707848,0.875676824,0.997371295
b4216,Plate 39 Trial 2,0.655020434,1.058206958,1.936470683,0.720834328,0.996994914
b4220,Plate 39 Trial 2,0.601383309,1.152587992,1.765598973,0.63085699,0.998109422
b4221,Plate 39 Trial 2,0.574052302,1.207463462,1.672510361,0.723254409,0.9963415
b4222,Plate 39 Trial 2,0.614851151,1.127341438,1.800666488,0.77929585,0.995872961
b4223,Plate 39 Trial 2,0.620316017,1.117409775,1.812735184,0.757649612,0.996116452
b4227,Plate 39 Trial 2,0.684812782,1.012170332,1.918335824,0.883755529,0.995974545
b4234,Plate 39 Trial 2,0.608487928,1.139130538,1.665219834,0.604844752,0.994568073
b4246,Plate 39 Trial 2,0.670476882,1.0338122,1.958757203,0.784220447,0.9967287
b4248,Plate 39 Trial 2,0.628093556,1.103573144,1.698314326,0.619979779,0.994745255
b4249,Plate 39 Trial 2,0.646864044,1.071550023,1.909345647,0.866320915,0.997971842
b4255,Plate 39 Trial 2,0.63786956,1.086659756,1.840063733,0.787738573,0.996729867
b4263,Plate 39 Trial 2,0.620344481,1.117358503,1.719202737,0.682419246,0.995384715
b4296,Plate 39 Trial 2,0.627509616,1.104600093,1.810195248,0.758191172,0.994229753
b4297,Plate 39 Trial 2,0.662331216,1.046526517,1.917430485,0.776724041,0.995577669
b4299,Plate 39 Trial 2,0.577856861,1.19951363,1.733140183,0.510756965,0.996451033
b4306,Plate 39 Trial 2,0.648611903,1.068662442,1.864405476,0.751474374,0.995823697
b4307,Plate 39 Trial 2,0.643746711,1.076738985,1.704486721,0.439560609,0.992798828
b4566,Plate 39 Trial 2,-0.051864646,-13.36454088,-0.07008089,0.785122371,0.993935794
b4308,Plate 39 Trial 2,0.590113017,1.174600731,1.756045708,0.673586193,0.997479559
b4325,Plate 39 Trial 2,0.633535003,1.094094528,1.795740716,0.700157076,0.995394215
b4329,Plate 39 Trial 2,0.585051653,1.184762367,1.694348636,0.550217697,0.993020895
b4336,Plate 39 Trial 2,0.664090469,1.043754146,1.802226785,0.619552893,0.99582573
b4337,Plate 39 Trial 2,0.619612654,1.11867822,1.784504139,0.670877882,0.995818979
b4340,Plate 39 Trial 2,0.668452083,1.036943706,1.844138102,0.406502003,0.997026374
b4341,Plate 39 Trial 2,-2.759531825,-0.251182891,0.143012532,1.724236417,0
b4353,Plate 39 Trial 2,0.631406707,1.097782417,1.864835723,0.650060541,0.995262429
b4374,Plate 39 Trial 2,0.607205689,1.141536046,1.916071882,0.763271622,0.99648554
b4377,Plate 39 Trial 2,0.598265815,1.158593996,1.766426457,0.466019742,0.995660156
b4379,Plate 39 Trial 2,0.642168244,1.079385639,1.846830165,0.608002391,0.99449256
b4380,Plate 39 Trial 2,0.643252577,1.077566115,1.904253367,0.607529258,0.996870916
b4385,Plate 39 Trial 2,0.620212401,1.117596455,1.840312113,0.551235687,0.996076472
b4387,Plate 39 Trial 2,0.641104077,1.081177309,1.860840339,0.711127055,0.997133472
b4391,Plate 39 Trial 2,0.627580902,1.104474624,1.777863156,0.663277633,0.99635472
b4402,Plate 39 Trial 2,0.672446381,1.030784313,1.978163708,0.694107784,0.9957073
b4403,Plate 39 Trial 2,0.691362001,1.00258212,2.035303242,0.817950384,0.99668115
b0397,Plate 39 Trial 2,0.615171713,1.126753987,1.847426703,0.554429279,0.996414173
b0467,Plate 39 Trial 2,0.578822959,1.197511552,1.771132607,0.500893674,0.996469164
b0472,Plate 39 Trial 2,0.595311602,1.164343478,1.927043668,0.590055648,0.99572587
b0687,Plate 39 Trial 2,0.527873518,1.313093302,1.808707969,0.549537722,0.997468546
b0708,Plate 39 Trial 2,0.561511049,1.234431952,1.779191718,0.316286595,0.996525064
b1061,Plate 39 Trial 2,0.564580473,1.227720783,1.747193125,0.440681288,0.995980133
b1114,Plate 39 Trial 2,0.611428727,1.133651643,1.96976797,0.687981128,0.995694542
b1184,Plate 39 Trial 2,0.622985802,1.112621152,1.845291624,0.465747762,0.99265982
b1349,Plate 39 Trial 2,0.563302154,1.230506889,1.87976986,0.478795864,0.996692609
b1360,Plate 39 Trial 2,0.619099926,1.119604689,1.765412653,0.498230902,0.994069644
b1610,Plate 39 Trial 2,0.630675312,1.099055516,1.942506455,0.613094378,0.9953568
b1763,Plate 39 Trial 2,0.580833426,1.193366548,1.76044826,0.390598183,0.993811094
b1842,Plate 39 Trial 2,0.657221631,1.054662762,1.773776369,0.41994961,0.995673631
b1861,Plate 39 Trial 2,0.449503934,1.542026951,1.748601801,0.681415125,0.99134131
b1863,Plate 39 Trial 2,0.007145714,97.00180805,0.012595639,5.414804456,0.880397667
b1865,Plate 39 Trial 2,0.578737827,1.197687705,1.850720862,0.443472577,0.996827584
b1961,Plate 39 Trial 2,0.527281587,1.314567392,1.922178458,0.63061632,0.994875722
b2068,Plate 39 Trial 2,0.6335995,1.093983155,1.83669484,0.567582357,0.993562318
b2212,Plate 39 Trial 2,0.575332906,1.204775832,1.743867687,0.401495342,0.992267598
b3863,Plate 39 Trial 2,0.643252354,1.077566489,1.769740134,0.357392143,0.995636417
b4044,Plate 39 Trial 2,0.650481659,1.06559066,1.895156063,0.638922613,0.996599444
b4058,Plate 39 Trial 2,0.62169961,1.114922977,1.824209107,0.545696903,0.995780072
b4170,Plate 39 Trial 2,0.629471413,1.101157521,1.739364859,0.65186357,0.993598387
b4201,Plate 39 Trial 2,0.621486064,1.115306072,1.771902883,0.460611371,0.991755398
b4259,Plate 39 Trial 2,0.686054168,1.010338852,1.90458682,0.56505392,0.992163711
b4349,Plate 39 Trial 2,0.645378939,1.074015805,1.81346701,0.387959616,0.995592209
b4351,Plate 39 Trial 2,0.638619992,1.08538284,1.872367338,0.832795414,0.997213669
b0019,Plate 39 Trial 2,0.663610324,1.044509338,1.687092968,0.799424655,0.989943632
b0045,Plate 39 Trial 2,0.608985718,1.138199403,1.881420106,0.606782841,0.996314231
b0047,Plate 39 Trial 2,0.601542599,1.152282783,1.71651434,0.491119377,0.99411671
b0106,Plate 39 Trial 2,0.592568724,1.169732981,1.626258188,0.378393991,0.995396386
b0107,Plate 39 Trial 2,0.638267439,1.085982361,1.806669902,0.466740345,0.995857697
b0112,Plate 39 Trial 2,0.677144407,1.023632734,2.060357996,0.81154843,0.996876672
b0127,Plate 39 Trial 2,0.608221412,1.139629692,1.875439499,0.664522941,0.995789959
b0151,Plate 39 Trial 2,0.66842259,1.036989459,1.857256396,0.656164364,0.996313667
b0152,Plate 39 Trial 2,0.649579689,1.067070281,1.785168833,0.510513067,0.993505775
b0153,Plate 39 Trial 2,0.655049861,1.05815942,1.697919821,0.382996383,0.994556892
b0199,Plate 39 Trial 2,0.649334798,1.067472717,1.816506397,0.435839354,0.995048355
b0314,Plate 39 Trial 2,0.593557464,1.167784457,1.636108691,0.314809642,0.995393595
b0336,Plate 39 Trial 2,0.565239915,1.226288453,1.59290694,0.369891799,0.995703651
b0341,Plate 39 Trial 2,0.435504691,1.59159521,1.589007077,0.235519664,0.99070787
b0366,Plate 39 Trial 2,0.538984963,1.286023226,1.743211173,0.205746979,0.993834042
b0367,Plate 39 Trial 2,0.482372519,1.436954123,1.542150713,0.227163948,0.993561944
b0396,Plate 39 Trial 2,0.569167909,1.217825478,1.603585281,0.318509383,0.99427386
b0401,Plate 39 Trial 2,0.639930663,1.083159817,1.798558075,0.563270417,0.996476489
b0448,Plate 39 Trial 2,0.010790324,64.23784859,0.054481569,0.37334508,0.734724451
b0599,Plate 29 Trial 1,0.61692889,1.123544693,1.464033686,0.357713325,0.997020478
b0650,Plate 29 Trial 1,0.749204264,0.925177837,1.362951856,0.426267654,0.996990642
b0686,Plate 29 Trial 1,0.747673863,0.927071568,1.310197578,0.494676495,0.995282322
b0752,Plate 29 Trial 1,0.733864095,0.944517091,1.541004566,0.775526942,0.996758361
b0851,Plate 29 Trial 1,0.618236162,1.121168938,1.564379035,1.390906194,0.997847429
b0878,Plate 29 Trial 1,0.597665592,1.159757547,1.507311823,1.213425423,0.997960475
b0879,Plate 29 Trial 1,0.825454674,0.839715617,1.449261863,0.628993269,0.996766245
