CommonName,bID,GenBankID,OMV.Trial1,OMV.Trial2,OMV.Trial3,OMV.Trial4,OMV.Trial5,average.log.OMV,antilog.OMV.Trial1,antilog.OMV.Trial2,antilog.OMV.Trial3,antilog.OMV.Trial4,antilog.OMV.Trial5,average.antilog.omv,stdev.antilog
ydgR,b1634,947436,-0.219996745,-0.038876657,NA,NA,NA,-0.129436701,0.602564102,0.914372894,,,,0.758468498,0.220482111
gst,b1635,945758,0.380264697,0.016871411,NA,NA,NA,0.198568054,2.400295423,1.039612304,,,,1.719953864,0.96214826
pdxY,b1636,946162,-0.23874287,-0.272955385,NA,NA,NA,-0.255849128,0.577108047,0.533389688,,,,0.555248867,0.030913548
ydhA,b1639,946811,-0.048827422,-0.192520433,NA,NA,NA,-0.120673928,0.893660532,0.641918019,,,,0.767789276,0.178008838
ydhH,b1640,946810,-0.270572132,-0.367581257,NA,NA,NA,-0.319076695,0.536324786,0.428961922,,,,0.482643354,0.075917009
slyB,b1641,946801,0.257595453,0.263784563,NA,NA,NA,0.260690008,1.809653608,1.835627532,,,,1.82264057,0.018366338
slyA,b1642,946167,-0.21699897,-0.091197015,NA,NA,NA,-0.154097993,0.606737769,0.810593254,,,,0.708665511,0.144147596
ydhI,b1643,947559,0.417139164,0.286987778,NA,NA,NA,0.352063471,2.612998522,1.93636747,,,,2.274682996,0.478450405
ydhJ,b1644,946499,-0.223732893,-0.116420006,NA,NA,NA,-0.17007645,0.597402598,0.764856557,,,,0.681129577,0.11840783
ydhK,b1645,946528,0.038232398,0.048569768,NA,NA,NA,0.043401083,1.09202454,1.118329466,,,,1.105177003,0.018600392
sodC,b1646,945343,-0.109602925,-0.018570943,NA,NA,NA,-0.064086934,0.776957163,0.958140189,,,,0.867548676,0.128115746
ydhF,b1647,946960,0.083337206,-0.002933671,NA,NA,NA,0.040201768,1.211538462,0.993267737,,,,1.102403099,0.15434071
ydhL,b1648,946168,0.059079136,-0.00391778,NA,NA,NA,0.027580678,1.145721693,0.991019546,,,,1.068370619,0.109390937
ydhM,b1649,946166,0.083803998,0.10355642,NA,NA,NA,0.093680209,1.212841358,1.269277028,,,,1.241059193,0.039906045
nemA,b1650,946164,-0.08233819,0.103578084,NA,NA,NA,0.010619947,0.827297687,1.269340345,,,,1.048319016,0.312571361
gloA,b1651,946161,-0.78009678,-0.582928512,NA,NA,NA,-0.681512646,0.165921712,0.261259137,,,,0.213590424,0.06741374
rnt,b1652,946159,0.252763161,-0.140791723,NA,NA,NA,0.055985719,1.789629628,0.723116509,,,,1.256373069,0.754138658
lhr,b1653,946156,-0.373530499,-0.020162479,NA,NA,NA,-0.196846489,0.423125794,0.954635369,,,,0.688880582,0.375834025
ydhD,b1654,946169,-0.47456507,-0.051931926,NA,NA,NA,-0.263248498,0.335301063,0.887295081,,,,0.611298072,0.390318714
ydhO,b1655,945210,0.426244352,0.133968485,NA,NA,NA,0.280106419,2.668359571,1.361345891,,,,2.014852731,0.924198236
sodB,b1656,944953,0.292936312,0.008995926,NA,NA,NA,0.150966119,1.963072377,1.020929907,,,,1.492001142,0.66619533
ydhP,b1657,947340,0.057295404,0.043004927,NA,NA,NA,0.050150166,1.141025641,1.104091146,,,,1.122558393,0.026116632
